Target_variable,Algorithm,PCA_not,transform,home_away,train_error,rmse,max_error,mae,r^2,best_params
pointspread,GBR,PCA,standard,away,-9.53,13,46.05,10.19,0.17,"{'subsample': 0.3, 'n_estimators': 43, 'min_samples_split': 92, 'min_samples_leaf': 71, 'min_impurity_decrease': 0.3, 'max_features': 25, 'max_depth': 63, 'loss': 'huber', 'learning_rate': 0.1, 'alpha': 0.1}"
pointspread,GBR,PCA,standard,home,-9.55,12.97,45.29,10.1,0.17,"{'subsample': 0.6, 'n_estimators': 83, 'min_samples_split': 92, 'min_samples_leaf': 91, 'min_impurity_decrease': 0.9, 'max_features': 20, 'max_depth': 53, 'loss': 'lad', 'learning_rate': 0.1, 'alpha': 0.1}"
pointspread,GBR,PCA,standard,not_need,not_need,12.99,46.05,10.14,0.2,not_need
PTS,GBR,PCA,standard,not_need,not_need,13.22,50.05,10.29,0.17,not_need
pointspread,Lasso,PCA,minmax,away,-9.39,12.7,47.55,9.94,0.21,"{'alpha': 0.01, 'fit_intercept': True}"
pointspread,Lasso,PCA,minmax,home,-9.39,12.69,47.23,9.93,0.21,"{'alpha': 0.01, 'fit_intercept': True}"
pointspread,Lasso,PCA,minmax,not_need,not_need,12.69,47.55,9.94,0.23,not_need
PTS,Lasso,PCA,minmax,not_need,not_need,12.87,46.98,10.09,0.21,not_need
pointspread,Lasso,PCA,standard,away,-9.38,12.69,47.05,9.93,0.21,"{'alpha': 1, 'fit_intercept': False}"
pointspread,Lasso,PCA,standard,home,-9.38,12.69,47.04,9.93,0.21,"{'alpha': 1, 'fit_intercept': False}"
pointspread,Lasso,PCA,standard,not_need,not_need,12.69,47.05,9.93,0.23,not_need
PTS,Lasso,PCA,standard,not_need,not_need,12.87,46.94,10.09,0.21,not_need
pointspread,Light,PCA,minmax,away,-9.4,12.8,47.13,10.02,0.19,"{'subsample': 0.9, 'objective': 'regression', 'num_leaves': 2, 'n_estimators': 78, 'min_data_in_leaf': 31, 'max_depth': 93, 'learning_rate': 0.1, 'feature_fraction': 0.6, 'boosting': 'gbdt'}"
pointspread,Light,PCA,minmax,home,-9.39,12.8,47.43,10.01,0.19,"{'subsample': 0.9, 'objective': 'regression', 'num_leaves': 2, 'n_estimators': 78, 'min_data_in_leaf': 31, 'max_depth': 93, 'learning_rate': 0.1, 'feature_fraction': 0.6, 'boosting': 'gbdt'}"
pointspread,Light,PCA,minmax,not_need,not_need,12.8,47.43,10.02,0.22,not_need
PTS,Light,PCA,minmax,not_need,not_need,13.09,45.72,10.2,0.18,not_need
pointspread,Light,PCA,standard,away,-9.4,12.81,47.4,10.02,0.19,"{'subsample': 0.9, 'objective': 'regression', 'num_leaves': 2, 'n_estimators': 78, 'min_data_in_leaf': 31, 'max_depth': 93, 'learning_rate': 0.1, 'feature_fraction': 0.6, 'boosting': 'gbdt'}"
pointspread,Light,PCA,standard,home,-9.38,12.79,47.23,10.01,0.19,"{'subsample': 0.9, 'objective': 'regression', 'num_leaves': 2, 'n_estimators': 78, 'min_data_in_leaf': 31, 'max_depth': 93, 'learning_rate': 0.1, 'feature_fraction': 0.6, 'boosting': 'gbdt'}"
pointspread,Light,PCA,standard,not_need,not_need,12.8,47.4,10.02,0.22,not_need
PTS,Light,PCA,standard,not_need,not_need,13.12,44.45,10.28,0.18,not_need
pointspread,LR,PCA,minmax,away,-9.42,12.74,48.56,9.98,0.2,"{'fit_intercept': False, 'positive': False}/nrooted_mean_squared_error:12.74169332400326/nmax_error:48.55934347892869/nmean_absolute_error:9.984241670509485/nr2_score:0.2012298751069299"
pointspread,LR,PCA,minmax,home,-9.42,12.72,48.37,9.98,0.2,"{'fit_intercept': True, 'positive': False}/nrooted_mean_squared_error:12.724892341590165/nmax_error:48.368250275875795/nmean_absolute_error:9.977329315538453/nr2_score:0.20333497600762485"
pointspread,LR,PCA,minmax,not_need,not_need,12.73,48.56,9.98,0.23,not_need
PTS,LR,PCA,minmax,not_need,not_need,12.87,46.68,10.09,0.21,not_need
pointspread,LR,PCA,standard,away,-9.43,12.73,48.68,9.98,0.2,"{'fit_intercept': False, 'positive': False}/nrooted_mean_squared_error:12.734172088295423/nmax_error:48.67779110793893/nmean_absolute_error:9.982899549160704/nr2_score:0.20217260149231808"
